from_location_id,to_location_id,shared_border_km,adjacency_type
loc_83020dfffffffff_af4d6ff6dd,loc_83022bfffffffff_01251cff08,4.324251,land
loc_83020efffffffff_036540010b,loc_83021dfffffffff_42956334ac,38.742261,land
loc_830211fffffffff_2d54d05c49,loc_830213fffffffff_51d010fd30,4.173273,land
loc_830211fffffffff_9b08339bae,loc_830213fffffffff_51d010fd30,2.402862,land
loc_830213fffffffff_51d010fd30,loc_83021efffffffff_465b78efe4,22.123827,land
loc_830213fffffffff_51d010fd30,loc_8302acfffffffff_d7c06eae8a,19.744207,land
loc_830213fffffffff_51d010fd30,loc_8302adfffffffff_3ad370d274,61.182927,land
loc_830213fffffffff_58e04cdd0c,loc_83021efffffffff_465b78efe4,0.665581,land
loc_830218fffffffff_0bfd7bfddd,loc_830219fffffffff_5164399afe,0.665568,land
loc_830218fffffffff_35390ba03c,loc_830219fffffffff_5164399afe,3.651272,land
loc_830218fffffffff_35390ba03c,loc_83021bfffffffff_b2a4d12e5e,7.779399,land
loc_830218fffffffff_68631af5bd,loc_83021bfffffffff_215e14569e,1.518689,land
loc_830218fffffffff_68631af5bd,loc_84021abffffffff_67a969cc68,13.706511,land
loc_830218fffffffff_b151e77fa9,loc_830219fffffffff_5164399afe,23.056175,land
loc_830218fffffffff_b151e77fa9,loc_83021dfffffffff_08115b76a1,0.643618,land
loc_830218fffffffff_b151e77fa9,loc_83021dfffffffff_9cfc8a3b96,21.672690,land
loc_830219fffffffff_5164399afe,loc_83021bfffffffff_215e14569e,15.421459,land
loc_830219fffffffff_5164399afe,loc_83021bfffffffff_b2a4d12e5e,12.718305,land
loc_830219fffffffff_5164399afe,loc_8302e4fffffffff_4c2a0eeb9f,4.594210,land
loc_830219fffffffff_5164399afe,loc_8302e4fffffffff_98025ae0ac,8.004474,land
loc_830219fffffffff_5164399afe,loc_8302e6fffffffff_2fa68bf102,69.405771,land
loc_83021bfffffffff_215e14569e,loc_8302e6fffffffff_2fa68bf102,27.225939,land
loc_83021bfffffffff_215e14569e,loc_8302f4fffffffff_0d6e52ff40,11.614703,land
loc_83021bfffffffff_215e14569e,loc_8302f4fffffffff_0e6d1a2aec,20.905654,land
loc_83021bfffffffff_215e14569e,loc_8302f5fffffffff_7106e9e6c8,42.686707,land
loc_83021bfffffffff_215e14569e,loc_84021a3ffffffff_91b3f01e10,16.138901,land
loc_83021bfffffffff_215e14569e,loc_84021abffffffff_67a969cc68,16.441759,land
loc_83021efffffffff_465b78efe4,loc_8302adfffffffff_8d80962b8c,27.577209,land
loc_83021efffffffff_60c349c2db,loc_84021a9ffffffff_49b7af6157,41.055350,land
loc_830221fffffffff_dec19455c4,loc_83022efffffffff_898f693a4e,26.763619,land
loc_83022afffffffff_28b5b3b5c1,loc_83022efffffffff_0dd9391070,2.004155,land
loc_83022afffffffff_324bf75a93,loc_83022efffffffff_898f693a4e,25.556789,land
loc_83022afffffffff_324bf75a93,loc_8402285ffffffff_d38cd4fc48,4.077851,land
loc_83022bfffffffff_b7a4cbb69e,loc_830276fffffffff_ab674dae9e,16.187823,land
loc_83022bfffffffff_b7a4cbb69e,loc_830276fffffffff_e60725ef54,15.591737,land
loc_83022bfffffffff_b7a4cbb69e,loc_8402295ffffffff_8d3db24bc1,22.805067,land
loc_830240fffffffff_3d48e8c476,loc_830244fffffffff_9a4024dfb4,2.281312,land
loc_830240fffffffff_7543ed08dc,loc_830242fffffffff_f20e57c9f5,0.853247,land
loc_830240fffffffff_7543ed08dc,loc_8402463ffffffff_7d41e9375d,0.799872,land
loc_830240fffffffff_a3b310c2c7,loc_830244fffffffff_9a4024dfb4,12.045146,land
loc_830240fffffffff_b87ff2557f,loc_830244fffffffff_9a4024dfb4,32.464756,land
loc_830240fffffffff_b87ff2557f,loc_8402463ffffffff_7d41e9375d,18.037451,land
loc_830240fffffffff_b87ff2557f,loc_840246bffffffff_af3b15467e,29.421840,land
loc_830241fffffffff_325a17d1c6,loc_830243fffffffff_5c23dce0c7,5.888562,land
loc_830241fffffffff_325a17d1c6,loc_830243fffffffff_73c074e97a,0.512735,land
loc_830241fffffffff_325a17d1c6,loc_830243fffffffff_9ffc13a70f,7.497593,land
loc_830241fffffffff_325a17d1c6,loc_83024cfffffffff_a6806d65de,57.604459,land
loc_830241fffffffff_325a17d1c6,loc_83024efffffffff_507b2ff28c,53.135412,land
loc_830242fffffffff_61553a396f,loc_830251fffffffff_8e21855aff,1.879075,land
loc_830242fffffffff_61553a396f,loc_83025cfffffffff_aa7768e5f1,60.868392,land
